benchmark,baseline_result,baseline_time,deepseek_result,deepseek_time,num_samples,extracted,assume_TRUE,assert_TRUE,assume_TIMEOUT,assert_TIMEOUT,category,raw_faster
benchmark16_conjunctive_1.c,TRUE,7,TRUE,4,3,3,3,0,0,0,too_weak_invariant,True
benchmark31_disjunctive_1.c,TRUE,7,TRUE,3,2,2,2,0,0,0,too_weak_invariant,True
brs2f_1.c,FALSE,11,FALSE,6,3,3,0,0,0,0,property_false_or_bug,True
cohencu-ll_unwindbound10_9.c,TRUE,46,TRUE,55,2,2,0,0,2,2,assert_phase_timeout,False
cohencu-ll_unwindbound20_9.c,TRUE,34,TRUE,41,2,2,0,0,2,2,assert_phase_timeout,False
cohencu-ll_unwindbound5_9.c,TRUE,35,TRUE,43,2,2,0,0,2,2,assert_phase_timeout,False
cohencu-ll_valuebound100_9.c,TRUE,31,TRUE,37,1,1,1,0,0,1,assert_phase_timeout,False
cohencu-ll_valuebound1_9.c,TRUE,10,TRUE,12,2,2,2,0,0,2,assert_phase_timeout,False
cohencu-ll_valuebound20_7.c,TRUE,145,TRUE,5,4,4,4,0,0,0,too_weak_invariant,True
cohencu-ll_valuebound5_7.c,TRUE,34,TRUE,3,2,2,2,0,0,0,too_weak_invariant,True
cohencu-ll_valuebound5_9.c,TRUE,35,TRUE,42,2,2,2,0,0,2,assert_phase_timeout,False
cohencu_9.c,TRUE,42,TRUE,51,1,1,1,0,0,1,assert_phase_timeout,False
cohendiv-ll_unwindbound100_7.c,TRUE,10,TRUE,12,1,1,0,0,1,0,assume_phase_timeout,False
cohendiv-ll_unwindbound20_1.c,TRUE,9,TRUE,5,2,2,2,0,0,1,too_weak_invariant,True
cohendiv-ll_unwindbound20_5.c,TRUE,8,TRUE,4,1,1,1,0,0,0,too_weak_invariant,True
cohendiv-ll_valuebound10_7.c,TRUE,8,TRUE,10,2,2,0,0,2,0,assume_phase_timeout,False
cohendiv-ll_valuebound50_7.c,TRUE,8,TRUE,10,3,3,0,0,3,0,assume_phase_timeout,False
diamond_1-1_1.c,TRUE,35,TRUE,7,2,2,2,0,0,0,too_weak_invariant,True
